2025-06-02 15:22:20 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 59
2025-06-02 15:22:20 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA
2025-06-02 15:25:20 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:25:20 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 58
2025-06-02 15:25:20 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: 7777917953
2025-06-02 15:25:20 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 59
2025-06-02 15:25:20 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA
2025-06-02 15:25:21 Line: 318, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: PA 49/2025
2025-06-02 15:25:21 Line: 95, APISubiektGT\SubiektGT\order->add: Request finish: 127.0.0.1
2025-06-02 15:26:11 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:26:11 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 58
2025-06-02 15:26:12 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: 7777917953
2025-06-02 15:26:12 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 59
2025-06-02 15:26:12 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA
2025-06-02 15:26:13 Line: 318, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: PA 50/2025
2025-06-02 15:26:13 Line: 95, APISubiektGT\SubiektGT\order->add: Request finish: 127.0.0.1
2025-06-02 15:26:26 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:26:26 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 58
2025-06-02 15:26:26 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: 7777917953
